fold,train_rows,val_rows,train_areas,val_areas,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,overfit_gap_rmse,overfit_ratio_rmse
1,677,226,122,41,0.434152827400249,1.1929535922942323,0.9789781486944262,0.5894732080806051,1.2615934619643085,0.9754794967464191,0.06863986967007629,1.0575377534494625
2,677,226,122,41,0.4052216866450031,1.077676573258718,0.9834109879326467,0.6286162102947866,1.525164903914137,0.9598502476354146,0.44748833065541915,1.4152343493023027
3,677,226,122,41,0.4011340431636194,1.0998107029382338,0.981867678620552,0.6263438659827574,1.5313986446029448,0.9653671803812998,0.43158794166471104,1.392420205142293
4,678,225,123,40,0.3898189980244289,1.0047685684388394,0.9841242312387148,0.6944654529956328,1.9487954210650482,0.9508678810655237,0.9440268526262088,1.9395465605507463
